Mushroom Variety,Temperature (°C),Humidity %,Airflow Speed (m/s),Light Intensity (lux),Substrate Moisture Level %,Water Quality Index,Harvest Count per Cycle,Variety_ID
Milky,17.13,80.11,0.44,133.98,65.92,80.49,18.6,3
Enoki,11.32,93.21,0.09,27.12,75.18,92.63,30.44,1
Button,18.97,83.83,0.1,61.05,76.59,90.74,22.98,0
Lion's Mane,22.83,88.24,0.42,85.42,69.23,83.47,16.4,2
Button,21.94,89.54,0.31,100.5,73.46,76.36,23.65,0
Button,19.76,85.47,0.29,102.97,78.68,80.51,23.33,0
Portobello,18.76,85.65,0.39,141.54,70.27,81.6,18.82,5
Oyster,24.07,88.77,0.31,119.05,67.62,80.06,18.5,4
Button,19.47,91.57,0.11,63.95,85.52,88.2,22.13,0
Shiitake,23.17,77.04,0.53,158.32,55.89,75.59,13.42,6
Milky,25.54,66.87,0.75,201.53,53.59,73.76,8.22,3
Shiitake,20.64,80.8,0.52,168.22,66.58,76.39,12.96,6
Shiitake,22.97,85.46,0.72,163.01,54.99,78.07,11.22,6
Shiitake,20.75,77.43,0.59,155.5,64.07,79.09,11.11,6
Button,18.44,88.09,0.2,77.07,71.63,87.13,21.55,0
Enoki,11.21,91.64,0.1,28.25,83.41,84.76,29.9,1
Enoki,11.93,99.01,0.11,40.98,73.57,93.82,29.5,1
Lion's Mane,18.6,94.0,0.41,101.99,71.67,90.7,13.69,2
Oyster,23.12,81.73,0.5,125.53,67.73,85.19,15.5,4
Lion's Mane,21.53,82.72,0.32,91.47,70.5,86.54,15.19,2
Oyster,21.74,90.92,0.42,123.85,61.65,80.02,18.0,4
Milky,26.01,68.34,0.76,218.5,54.81,67.77,9.09,3
Milky,28.12,72.83,0.58,193.97,55.4,72.05,9.9,3
Button,21.07,98.24,0.09,62.66,81.96,90.87,23.77,0
Button,18.35,98.57,0.21,80.69,79.72,93.83,26.35,0
Button,20.03,81.28,0.29,103.95,78.14,81.79,20.16,0
Lion's Mane,22.94,79.85,0.28,87.32,71.3,87.72,17.23,2
Button,18.08,91.35,0.2,80.36,81.93,89.53,24.97,0
Oyster,22.11,86.76,0.41,131.3,67.21,85.39,17.1,4
Milky,21.54,88.0,0.3,92.98,73.03,81.3,16.55,3
Enoki,9.51,101.59,0.1,38.08,83.04,92.87,27.18,1
Enoki,10.17,96.65,0.11,39.41,84.83,83.93,31.11,1
Milky,25.73,78.17,0.6,182.46,54.36,72.33,10.04,3
Shiitake,21.42,84.78,0.68,175.45,59.82,81.24,10.7,6
Milky,24.16,73.08,0.81,220.12,54.91,71.12,7.79,3
Enoki,11.01,99.42,0.1,38.92,83.74,94.34,26.58,1
Button,20.44,92.28,0.27,105.71,75.31,93.0,21.61,0
Milky,25.72,72.34,0.62,186.24,61.54,79.42,9.55,3
Oyster,22.35,83.61,0.55,137.85,68.21,82.17,16.15,4
Button,15.43,94.51,0.22,80.59,69.69,87.11,24.43,0
Milky,24.97,72.54,0.86,219.03,62.88,68.75,10.27,3
Lion's Mane,19.93,84.01,0.42,81.52,70.22,87.03,13.24,2
Portobello,16.09,91.9,0.45,134.09,64.33,88.48,19.67,5
Button,20.07,91.56,0.29,93.68,72.2,83.78,21.74,0
Enoki,20.65,85.34,0.31,99.8,69.08,98.03,16.07,1
Button,20.29,90.86,0.3,100.16,78.23,78.96,23.52,0
Enoki,11.55,96.79,0.11,28.89,82.24,99.21,30.32,1
Milky,26.76,72.62,0.89,218.92,47.12,78.47,8.6,3
Oyster,25.11,86.2,0.51,133.42,65.58,87.29,17.42,4
Portobello,18.66,89.9,0.38,135.42,64.77,81.64,19.06,5
Lion's Mane,19.35,96.54,0.2,79.43,67.19,93.76,14.86,2
Lion's Mane,19.53,83.59,0.28,90.65,78.21,90.08,13.94,2
Portobello,18.28,77.71,0.38,136.47,66.76,89.75,19.23,5
Oyster,22.81,80.79,0.49,161.48,61.91,81.05,13.21,4
Shiitake,20.85,80.96,0.6,142.03,63.34,79.66,11.72,6
Shiitake,20.82,88.04,0.64,154.28,60.31,83.84,11.81,6
Enoki,11.51,77.15,0.23,48.0,75.1,83.94,25.57,1
Oyster,23.38,100.53,0.31,108.92,69.23,79.77,18.98,4
Shiitake,21.22,85.35,0.49,150.51,71.73,83.14,16.72,6
Milky,25.39,76.74,0.6,187.72,62.71,74.82,9.96,3
Portobello,17.55,87.69,0.4,128.94,65.22,78.33,18.14,5
Shiitake,24.52,83.36,0.73,140.88,59.29,78.24,10.3,6
Enoki,11.43,89.31,0.2,55.62,81.92,97.26,24.55,1
Button,18.85,103.66,0.1,54.54,78.19,80.17,25.48,0
Shiitake,23.76,79.41,0.7,168.52,61.13,75.02,11.14,6
Shiitake,21.41,85.83,0.63,146.25,63.97,80.07,11.98,6
Oyster,18.54,90.61,0.4,140.63,69.67,86.87,18.57,4
Button,18.32,93.37,0.31,102.97,71.47,86.66,22.6,0
Milky,28.19,64.78,0.89,212.95,52.28,72.05,8.11,3
Oyster,24.65,83.54,0.49,129.14,68.56,72.69,17.7,4
Oyster,19.77,92.15,0.43,87.24,67.84,87.08,14.75,4
Shiitake,25.29,80.26,0.48,162.56,61.21,80.85,12.47,6
Button,17.45,92.63,0.19,85.25,72.77,81.24,23.66,0
Enoki,10.9,93.8,0.08,40.59,79.99,92.64,28.08,1
Portobello,18.1,92.16,0.52,127.33,64.77,83.38,20.11,5
Enoki,11.4,85.25,0.22,47.13,72.16,97.29,25.4,1
Enoki,13.04,99.61,0.2,48.81,75.34,93.34,27.41,1
Button,17.03,90.31,0.21,88.57,74.4,82.02,24.0,0
Button,20.86,91.07,0.28,95.53,80.73,89.67,21.62,0
Button,18.95,95.63,0.21,76.05,81.06,85.66,25.27,0
Enoki,12.38,91.32,0.19,47.52,75.33,88.0,25.38,1
Lion's Mane,22.47,88.87,0.44,85.3,69.63,88.8,14.86,2
Enoki,11.53,95.99,0.1,31.28,79.85,86.85,29.28,1
Shiitake,20.65,86.34,0.49,156.89,58.52,77.44,14.6,6
Shiitake,21.59,84.66,0.5,154.06,63.92,77.35,12.62,6
Enoki,12.32,92.24,0.11,29.83,88.83,95.44,29.44,1
Button,20.42,89.86,0.33,97.77,80.24,87.0,24.83,0
Button,19.55,87.82,0.29,113.49,76.92,82.34,24.4,0
Oyster,23.82,94.64,0.37,119.83,67.65,72.96,17.03,4
Lion's Mane,20.55,88.43,0.62,153.46,62.24,77.55,13.06,2
Lion's Mane,20.58,83.2,0.29,86.92,73.25,88.73,15.31,2
Milky,29.13,69.08,0.54,193.16,55.93,75.17,10.29,3
Oyster,23.54,89.98,0.28,107.04,68.64,84.66,17.66,4
Shiitake,22.78,83.2,0.72,160.16,59.08,77.1,11.06,6
Portobello,16.48,80.96,0.52,130.13,63.49,78.58,20.83,5
Shiitake,11.02,97.14,0.09,40.25,90.61,97.47,26.84,6
Button,19.95,97.93,0.1,60.98,75.53,90.22,23.41,0
Enoki,11.03,89.63,0.09,36.46,79.83,92.86,26.02,1
Shiitake,19.73,86.61,0.55,152.37,62.27,80.04,12.6,6
Lion's Mane,20.08,87.12,0.29,96.4,69.77,87.4,15.56,2
Milky,29.37,66.17,0.93,210.95,52.47,70.14,7.62,3
Enoki,10.98,87.19,0.1,28.61,82.88,93.19,31.55,1
Button,16.89,91.04,0.22,84.99,82.65,92.16,25.18,0
Shiitake,23.9,75.51,0.7,156.63,58.98,77.53,10.11,6
Shiitake,22.34,83.48,0.5,157.39,63.1,74.4,12.96,6
Milky,23.65,67.37,0.88,211.26,52.37,70.5,7.85,3
Milky,29.13,72.65,0.82,190.15,56.57,69.4,9.57,3
Shiitake,21.35,78.4,0.48,162.55,62.0,76.2,12.79,6
Lion's Mane,20.57,92.97,0.21,80.02,75.72,93.28,15.86,2
Button,18.48,96.77,0.09,62.43,73.75,95.78,24.79,0
Lion's Mane,19.55,87.72,0.21,77.64,78.17,94.07,14.64,2
Button,20.42,94.88,0.1,61.92,77.08,75.73,22.05,0
Button,19.13,86.66,0.3,102.71,68.45,91.62,23.09,0
Enoki,11.72,97.0,0.09,30.03,87.04,96.48,29.65,1
Enoki,12.82,98.63,0.09,26.49,83.4,90.45,30.87,1
Lion's Mane,12.59,94.93,0.22,49.46,81.36,93.96,27.91,2
Oyster,23.78,92.81,0.3,106.01,71.19,94.52,18.7,4
Button,17.18,96.0,0.21,76.33,74.75,95.51,22.63,0
Milky,25.99,67.33,0.9,204.19,56.69,76.1,8.36,3
Milky,25.46,69.27,0.58,198.67,58.94,68.84,9.65,3
Enoki,12.29,92.84,0.17,48.57,75.66,93.05,27.94,1
Button,21.05,84.18,0.56,158.15,56.59,73.03,24.09,0
Oyster,24.39,82.52,0.3,103.66,71.69,88.18,20.39,4
Oyster,23.39,80.22,0.47,143.93,68.89,79.45,17.66,4
Lion's Mane,22.42,81.55,0.31,91.21,63.75,89.38,17.3,2
Button,16.59,94.09,0.19,82.15,79.32,91.49,26.01,0
Button,20.74,105.63,0.1,56.86,76.72,87.4,24.18,0
Oyster,24.59,88.48,0.29,97.12,70.24,88.78,19.1,4
Lion's Mane,20.46,91.99,0.45,83.7,67.65,79.98,16.19,2
Lion's Mane,19.02,90.81,0.43,92.99,68.7,86.74,16.06,2
Milky,25.02,75.83,0.62,197.77,60.14,74.44,10.13,3
Button,17.37,85.75,0.2,78.15,78.52,85.64,21.27,0
Button,12.17,86.05,0.2,49.77,77.75,92.34,29.22,0
Lion's Mane,22.02,81.48,0.38,96.84,68.45,88.76,16.54,2
Lion's Mane,20.28,95.56,0.4,83.43,68.34,87.2,14.9,2
Button,21.98,83.72,0.26,108.1,71.34,84.77,21.74,0
Enoki,11.34,93.12,0.1,37.57,83.1,94.37,26.44,1
Button,20.6,91.67,0.29,89.39,79.06,80.73,22.07,0
Button,20.89,85.84,0.27,97.88,76.24,84.81,24.25,0
Enoki,10.79,91.72,0.1,38.54,71.22,91.9,25.99,1
Portobello,17.67,88.42,0.51,131.03,71.94,87.82,20.04,5
Lion's Mane,20.32,84.68,0.18,84.63,67.92,85.65,15.62,2
Shiitake,22.48,84.09,0.71,164.91,58.84,70.09,11.46,6
Lion's Mane,20.94,91.97,0.2,79.28,70.07,87.47,15.58,2
Lion's Mane,22.42,84.68,0.37,80.99,67.49,82.18,15.16,2
Shiitake,23.22,80.0,0.46,153.39,65.08,77.78,12.69,6
Button,19.4,98.95,0.1,57.71,77.7,88.39,22.45,0
Button,18.89,82.83,0.3,105.75,78.1,87.3,23.8,0
Oyster,22.1,93.15,0.36,123.41,66.82,75.91,17.42,4
Button,18.83,91.84,0.1,57.44,73.84,83.7,20.23,0
Enoki,11.56,83.93,0.21,54.12,80.18,81.51,26.97,1
Enoki,10.22,91.03,0.1,31.99,77.97,89.08,31.04,1
Shiitake,23.0,81.8,0.48,177.93,63.48,75.42,13.92,6
Oyster,18.94,85.28,0.1,61.54,70.93,90.8,24.34,4
Enoki,10.29,89.66,0.1,41.81,78.91,90.62,27.58,1
Enoki,12.16,90.88,0.1,29.91,84.49,90.53,26.67,1
Enoki,11.03,102.57,0.1,31.24,81.08,101.83,28.02,1
Oyster,22.9,84.82,0.48,149.13,69.9,73.42,17.29,4
Milky,25.48,81.42,0.51,135.76,65.74,73.24,18.02,3
Button,17.82,102.64,0.21,77.33,72.71,91.17,25.96,0
Oyster,26.23,91.24,0.32,110.63,67.27,82.89,17.68,4
Portobello,18.97,86.25,0.36,134.35,65.81,79.23,19.11,5
Oyster,23.66,89.77,0.3,111.34,69.06,84.29,19.16,4
Button,17.84,84.85,0.19,80.76,67.95,92.65,22.56,0
Enoki,11.65,89.73,0.1,31.64,80.74,95.38,29.24,1
Milky,28.48,72.54,0.84,194.79,50.61,77.36,9.92,3
Button,17.04,84.25,0.2,86.42,74.47,91.36,20.08,0
Milky,26.48,71.88,0.8,190.12,55.45,64.68,8.85,3
Lion's Mane,22.16,69.83,0.3,97.85,65.88,85.38,16.97,2
Button,20.99,95.98,0.11,61.62,82.14,86.58,24.02,0
Portobello,17.66,76.49,0.36,137.51,65.4,82.48,20.63,5
Shiitake,24.1,86.42,0.74,171.67,57.61,75.43,10.85,6
Portobello,17.23,84.57,0.47,132.45,65.38,83.61,21.78,5
Portobello,17.05,89.83,0.52,131.51,68.24,85.39,19.7,5
Shiitake,21.08,92.27,0.58,141.12,60.24,82.38,12.34,6
Shiitake,22.95,84.89,0.48,156.28,58.75,79.3,12.76,6
Lion's Mane,21.08,88.77,0.4,90.84,69.54,87.13,14.08,2
Shiitake,21.17,80.26,0.59,149.02,53.58,77.23,12.43,6
Milky,27.08,72.8,0.82,204.85,55.31,71.53,9.46,3
Lion's Mane,20.91,82.78,0.3,94.78,68.26,91.84,15.41,2
Oyster,22.37,84.57,0.5,131.2,65.5,84.72,17.83,4
Shiitake,22.92,79.35,0.71,170.87,58.94,76.88,10.33,6
Enoki,10.82,94.95,0.1,30.32,78.52,98.55,28.74,1
Milky,27.32,69.14,0.62,174.12,54.61,69.51,10.39,3
Milky,24.94,76.4,0.9,213.28,49.66,74.25,8.55,3
Oyster,21.59,95.38,0.39,112.11,65.71,80.05,17.25,4
Portobello,21.69,96.72,0.31,105.78,66.73,86.83,18.77,5
Portobello,18.81,93.63,0.47,136.72,62.88,75.25,19.58,5
Enoki,20.14,92.74,0.2,77.99,73.77,95.69,14.54,1
Oyster,22.32,86.43,0.46,142.85,73.54,76.02,16.35,4
Shiitake,21.89,77.53,0.48,151.89,60.36,77.05,13.59,6
Enoki,11.08,97.32,0.1,37.33,78.67,94.06,26.45,1
Button,17.08,87.57,0.21,81.21,78.34,101.39,22.12,0
Oyster,23.46,88.17,0.3,101.12,64.94,85.52,18.24,4
Enoki,10.93,95.83,0.1,38.95,78.52,89.56,28.7,1
Enoki,12.36,94.78,0.21,51.0,76.27,88.82,25.48,1
Lion's Mane,20.4,88.51,0.2,81.92,68.37,89.75,13.38,2
Button,21.32,90.9,0.3,109.31,76.68,86.13,24.88,0
Oyster,22.67,92.51,0.44,126.14,64.72,78.31,17.31,4
Button,17.74,89.95,0.21,72.88,81.16,85.68,20.37,0
Button,21.83,89.09,0.42,95.68,64.88,85.26,21.24,0
Portobello,15.19,84.33,0.47,132.91,66.1,84.49,19.69,5
Button,17.69,99.66,0.21,78.3,76.82,101.38,25.94,0
Shiitake,22.38,82.51,0.66,151.24,57.48,75.67,12.53,6
Portobello,17.09,81.21,0.43,142.69,67.36,80.98,19.28,5
Oyster,19.75,89.07,0.1,60.51,69.25,93.9,22.81,4
Oyster,11.02,100.43,0.1,31.77,80.46,93.63,30.38,4
Shiitake,20.17,87.78,0.51,159.44,60.06,82.05,13.58,6
Enoki,23.14,86.27,0.5,134.64,68.07,82.79,16.62,1
Shiitake,23.47,81.17,0.51,159.68,61.7,76.98,13.35,6
Milky,26.66,70.05,0.95,222.51,51.38,73.23,8.83,3
Oyster,20.95,82.84,0.45,140.22,67.91,86.36,17.1,4
Milky,24.81,76.47,0.62,179.12,61.09,73.24,10.03,3
Milky,26.33,65.41,0.95,196.02,55.13,72.9,8.55,3
Oyster,22.55,86.67,0.39,116.24,64.31,80.96,18.02,4
Oyster,23.52,93.73,0.26,104.39,73.43,82.95,19.2,4
Shiitake,23.09,78.24,0.63,175.96,59.63,72.95,10.12,6
Lion's Mane,19.92,86.25,0.41,94.73,66.42,83.08,15.28,2
Enoki,12.49,90.83,0.19,52.55,72.97,88.64,27.44,1
Shiitake,20.74,86.59,0.64,144.34,63.56,76.97,11.78,6
Oyster,23.13,87.0,0.39,132.05,60.21,85.01,17.48,4
Button,20.78,95.19,0.31,100.52,72.25,88.22,25.48,0
Enoki,11.7,101.28,0.1,29.79,79.27,88.93,31.18,1
Enoki,12.35,92.41,0.21,48.44,71.95,96.35,26.27,1
Shiitake,22.31,89.83,0.6,146.61,57.08,77.85,12.34,6
Portobello,18.61,86.92,0.51,134.17,67.63,82.84,20.0,5
Lion's Mane,18.63,92.41,0.41,83.95,68.88,85.02,14.66,2
Lion's Mane,17.86,92.6,0.2,74.92,70.96,85.85,14.52,2
Enoki,10.98,100.68,0.1,29.21,80.03,93.07,29.13,1
Lion's Mane,22.39,88.91,0.3,102.21,71.47,92.68,16.49,2
Milky,24.11,76.5,0.65,185.96,54.89,73.66,10.23,3
Enoki,11.3,97.86,0.09,27.6,84.56,100.98,27.51,1
Portobello,18.24,93.81,0.53,133.1,61.29,76.65,19.77,5
Milky,22.78,69.45,0.76,188.98,54.25,65.43,8.64,3
Button,21.02,98.67,0.09,56.77,73.92,90.98,22.46,0
Button,18.93,94.91,0.1,55.15,81.93,93.75,23.27,0
Oyster,24.14,88.01,0.41,114.41,61.25,76.74,17.62,4
Oyster,23.13,83.2,0.39,123.75,66.39,73.82,18.53,4
Milky,28.52,69.3,0.85,185.59,55.36,70.05,9.13,3
Shiitake,21.61,80.98,0.71,176.59,56.95,75.83,11.19,6
Oyster,11.52,95.71,0.1,28.3,82.71,96.19,29.19,4
Milky,25.96,69.53,0.62,182.04,49.95,76.89,9.87,3
Milky,27.64,75.37,0.61,189.55,53.73,73.2,10.99,3
Oyster,23.48,100.28,0.41,125.52,64.1,81.82,17.05,4
Milky,25.07,71.4,0.61,200.65,56.62,74.76,10.06,3
Enoki,11.9,99.76,0.21,50.81,70.2,93.8,27.3,1
Lion's Mane,21.75,83.19,0.28,91.13,68.41,85.46,17.73,2
Enoki,10.66,97.83,0.19,49.74,83.53,89.03,24.93,1
Enoki,23.17,83.29,0.53,140.17,61.09,83.27,18.62,1
Oyster,23.74,93.73,0.52,143.31,68.78,75.71,17.1,4
Lion's Mane,19.54,89.3,0.18,74.78,68.66,84.34,15.24,2
Lion's Mane,23.57,87.62,0.41,118.66,61.35,78.94,18.29,2
Enoki,18.81,81.28,0.4,83.8,69.09,88.2,16.14,1
Button,20.43,85.23,0.32,106.9,75.84,90.9,21.82,0
Portobello,19.99,86.41,0.42,142.17,71.7,83.78,19.76,5
Oyster,24.84,91.31,0.31,108.4,71.3,80.4,18.67,4
Shiitake,20.38,86.29,0.5,155.83,59.41,75.11,13.45,6
Button,24.79,86.75,0.3,110.68,71.09,87.6,17.8,0
Enoki,12.92,92.32,0.21,52.82,87.64,85.26,25.72,1
Shiitake,24.0,80.91,0.67,161.83,58.74,77.61,11.22,6
Milky,27.97,75.82,0.57,188.36,56.93,71.88,9.63,3
Portobello,19.05,89.35,0.52,124.15,63.83,88.28,19.42,5
Oyster,24.0,80.34,0.5,138.07,67.86,84.37,17.16,4
Lion's Mane,19.92,81.59,0.41,91.69,72.5,74.68,14.92,2
Enoki,11.86,106.01,0.1,29.51,87.17,98.28,28.3,1
Oyster,22.42,87.9,0.31,110.23,66.24,85.92,18.32,4
Portobello,17.53,89.18,0.48,132.32,63.06,81.28,18.48,5
Portobello,18.26,84.39,0.48,132.81,64.53,83.7,19.8,5
Lion's Mane,22.33,80.0,0.29,94.36,70.14,84.02,15.08,2
Milky,26.38,74.78,0.61,194.12,51.95,76.36,9.66,3
Oyster,23.24,88.09,0.5,136.82,64.8,85.19,17.88,4
Shiitake,21.81,77.42,0.52,163.67,64.85,74.82,12.57,6
Button,19.66,85.98,0.2,86.27,77.25,90.79,22.68,0
Shiitake,22.23,86.76,0.57,145.82,61.91,74.78,11.24,6
Lion's Mane,21.35,85.93,0.19,87.07,72.77,97.65,14.84,2
Lion's Mane,20.42,93.78,0.39,98.39,65.72,85.38,14.79,2
Button,21.86,88.21,0.29,101.16,76.67,75.24,22.14,0
Button,20.37,83.88,0.3,94.82,72.75,84.82,24.68,0
Lion's Mane,21.54,82.3,0.4,93.39,65.91,81.49,15.17,2
Shiitake,23.25,85.85,0.8,156.8,62.11,74.86,10.56,6
Milky,27.81,66.01,0.87,233.71,51.26,66.07,8.01,3
Portobello,17.23,92.71,0.51,141.29,64.1,88.09,20.09,5
Milky,25.43,93.76,0.4,124.6,61.48,77.71,19.0,3
Lion's Mane,18.54,85.13,0.2,88.47,68.99,87.82,15.81,2
Lion's Mane,18.73,87.41,0.2,81.98,72.46,89.78,16.33,2
Portobello,15.98,84.98,0.39,141.02,70.66,82.08,18.66,5
Oyster,21.43,91.99,0.52,126.97,67.82,81.29,16.34,4
Milky,20.41,94.33,0.1,61.95,73.96,90.82,24.8,3
Button,21.68,74.4,0.51,173.23,54.59,82.45,13.32,0
Oyster,24.97,82.79,0.47,144.42,69.68,80.02,16.53,4
Lion's Mane,20.92,83.39,0.4,89.03,67.68,81.94,15.57,2
Lion's Mane,20.03,96.74,0.2,81.13,78.97,94.36,15.44,2
Enoki,10.05,98.34,0.1,42.25,79.78,91.34,26.69,1
Button,20.03,103.1,0.1,58.44,74.68,83.29,22.74,0
Enoki,11.69,92.03,0.11,28.77,90.59,84.84,29.62,1
Shiitake,22.01,83.02,0.48,163.4,62.37,78.96,12.44,6
Portobello,17.0,91.57,0.48,135.95,68.97,76.07,21.13,5
Shiitake,23.46,80.87,0.5,149.49,62.43,77.89,13.34,6
Shiitake,21.44,79.82,0.55,158.8,62.62,75.75,12.47,6
Lion's Mane,20.72,77.39,0.29,90.4,72.16,84.07,16.71,2
Button,20.34,82.21,0.3,95.7,78.64,97.06,24.47,0
Shiitake,22.93,83.08,0.44,160.21,62.55,75.39,13.46,6
Shiitake,24.27,77.85,0.48,148.22,62.27,76.17,13.98,6
Enoki,10.88,100.37,0.1,29.81,81.71,89.55,26.52,1
Lion's Mane,22.13,94.27,0.19,80.4,70.79,88.4,14.08,2
Milky,23.2,74.26,0.84,196.41,56.97,68.91,8.79,3
Lion's Mane,19.97,83.19,0.42,90.94,67.3,87.31,14.9,2
Button,18.41,86.2,0.28,91.74,77.78,83.12,24.95,0
Portobello,18.22,90.58,0.4,144.96,66.3,82.83,19.41,5
Shiitake,20.78,78.45,0.73,173.94,55.11,67.86,10.92,6
Portobello,16.13,89.94,0.52,127.05,61.56,84.28,19.13,5
Oyster,23.99,80.53,0.49,138.42,68.53,76.83,17.78,4
Enoki,10.53,86.57,0.11,39.61,74.8,90.32,27.18,1
Button,19.7,84.76,0.31,94.13,72.22,90.96,21.88,0
Lion's Mane,20.01,83.35,0.38,80.52,70.06,87.48,16.19,2
Oyster,23.25,80.77,0.48,149.1,67.12,76.38,17.16,4
Enoki,10.85,105.25,0.09,40.25,74.63,91.2,28.0,1
Portobello,18.38,87.77,0.55,134.35,67.69,75.25,21.99,5
Oyster,24.89,84.41,0.3,116.92,73.93,89.57,17.99,4
Shiitake,23.25,85.11,0.67,164.65,62.13,70.65,11.4,6
Portobello,18.55,81.55,0.41,135.42,62.24,83.97,16.62,5
Enoki,12.61,85.96,0.2,49.34,77.6,96.14,26.41,1
Shiitake,25.64,74.23,0.75,175.58,56.61,81.11,9.98,6
Portobello,19.12,90.53,0.38,149.55,71.05,73.19,19.11,5
Shiitake,22.29,79.9,0.66,182.14,53.0,74.18,11.7,6
Shiitake,21.46,84.4,0.64,154.33,57.1,80.55,12.1,6
Button,20.05,91.8,0.1,61.18,75.73,92.96,20.53,0
Milky,26.28,71.19,0.7,204.58,54.72,73.03,9.23,3
Shiitake,22.02,82.68,0.72,181.37,57.47,79.95,11.31,6
Shiitake,22.26,83.79,0.64,144.64,62.79,85.06,12.73,6
Oyster,23.46,80.26,0.48,131.66,65.46,79.89,17.23,4
Button,19.25,89.86,0.29,95.47,75.94,79.03,22.97,0
Enoki,13.06,90.9,0.21,49.53,77.05,86.56,25.69,1
Shiitake,23.1,83.01,0.68,179.18,57.59,84.72,10.11,6
Portobello,17.64,89.89,0.48,132.41,61.62,82.09,20.3,5
Milky,26.31,70.96,0.95,209.07,54.81,66.23,8.55,3
Portobello,16.81,86.64,0.53,136.07,65.94,78.64,19.62,5
Lion's Mane,28.06,77.41,0.74,180.77,54.33,66.53,9.02,2
Milky,26.45,73.93,0.57,194.29,56.13,72.6,9.62,3
Oyster,22.85,85.03,0.37,127.38,65.53,79.87,17.13,4
Button,21.72,84.55,0.29,92.73,79.69,86.62,21.2,0
Milky,25.16,72.82,0.63,192.25,58.84,77.98,9.74,3
Milky,25.61,73.55,0.61,181.42,59.66,75.6,9.84,3
Button,19.39,89.55,0.09,59.56,76.03,83.16,22.08,0
Enoki,10.32,94.52,0.1,30.11,76.89,86.33,27.93,1
Milky,21.58,87.64,0.37,87.95,67.12,82.89,15.04,3
Portobello,20.9,87.28,0.4,90.9,73.02,85.27,15.22,5
Enoki,10.48,101.91,0.1,37.84,76.1,88.59,29.4,1
Milky,25.91,71.03,0.93,209.9,50.03,66.07,7.71,3
Portobello,18.13,81.39,0.38,145.05,65.27,84.09,18.4,5
Lion's Mane,21.93,89.8,0.29,96.66,68.64,89.76,16.19,2
Oyster,20.97,94.11,0.42,119.06,63.75,78.66,19.61,4
Button,20.52,83.15,0.31,97.33,75.43,80.25,23.7,0
Shiitake,21.34,76.71,0.7,179.69,59.89,66.26,10.84,6
Oyster,22.34,90.86,0.43,121.98,61.84,78.33,18.65,4
Button,18.29,96.21,0.1,57.43,78.25,89.4,24.11,0
Shiitake,21.26,77.25,0.68,166.82,55.31,73.0,10.17,6
Button,17.25,93.55,0.19,77.21,74.72,91.55,23.53,0
Lion's Mane,21.28,91.79,0.33,98.12,66.57,86.24,16.21,2
Oyster,21.84,90.44,0.3,103.5,71.39,80.9,20.65,4
Lion's Mane,20.05,90.19,0.2,77.88,72.25,93.73,13.75,2
Milky,27.72,74.24,0.77,207.93,52.92,80.04,8.69,3
Oyster,20.76,88.69,0.38,114.16,61.55,80.95,19.89,4
Shiitake,22.57,84.41,0.53,166.05,60.46,79.09,13.06,6
Milky,22.1,85.6,0.41,127.1,65.19,87.12,18.62,3
Portobello,17.99,86.09,0.51,123.02,64.78,87.15,20.77,5
Enoki,10.35,91.47,0.1,42.74,81.88,91.61,27.81,1
Enoki,20.88,84.6,0.31,98.09,80.28,79.4,23.52,1
Lion's Mane,20.0,86.83,0.39,86.67,71.76,74.47,14.66,2
Shiitake,21.5,76.56,0.72,171.06,53.82,75.37,11.85,6
Button,16.97,99.55,0.2,80.44,73.68,91.03,23.92,0
Shiitake,22.17,83.78,0.5,154.06,60.43,71.69,12.85,6
Button,18.83,89.64,0.1,62.66,80.54,81.28,22.68,0
Enoki,11.87,94.64,0.19,52.18,79.2,88.47,25.82,1
Portobello,20.49,81.17,0.5,121.91,64.2,93.28,19.18,5
Enoki,11.04,96.27,0.09,36.81,84.96,92.89,30.01,1
Lion's Mane,21.34,85.31,0.19,81.8,71.9,94.37,14.74,2
Enoki,13.18,83.75,0.2,51.54,77.13,84.13,27.24,1
Milky,25.05,77.87,0.57,175.35,54.41,81.57,9.5,3
Portobello,17.33,82.11,0.48,136.28,65.11,81.41,19.88,5
Enoki,11.97,87.99,0.22,50.59,77.75,92.04,24.67,1
Oyster,24.26,82.04,0.51,127.64,69.43,77.71,15.96,4
Button,19.06,83.01,0.3,99.14,81.54,80.48,20.37,0
Shiitake,20.65,81.12,0.54,159.69,56.34,76.68,13.53,6
Lion's Mane,20.09,87.25,0.41,98.13,72.51,80.87,13.54,2
Milky,26.13,68.45,0.9,214.82,51.88,69.06,7.71,3
Shiitake,24.18,81.21,0.71,165.62,57.98,72.1,9.93,6
Milky,25.88,68.71,0.85,200.81,55.77,72.22,8.7,3
Shiitake,21.51,84.82,0.63,139.11,58.01,77.53,12.82,6
Milky,24.54,87.35,0.31,119.22,73.48,83.66,19.64,3
Lion's Mane,22.37,85.45,0.31,93.18,66.77,85.83,15.94,2
Enoki,11.69,97.62,0.11,31.28,86.62,98.87,30.1,1
Button,19.41,94.85,0.09,60.12,78.64,88.57,22.12,0
Button,25.56,89.64,0.3,109.47,74.33,82.92,20.22,0
Enoki,10.68,93.42,0.1,35.8,79.68,90.47,28.89,1
Oyster,21.87,85.67,0.43,119.68,68.04,82.67,19.27,4
